UserID,CourseCategory,decisionTime,linksOpened,clickPosition,QuizScores,scrollDepth,DeviceType,CourseCompletion
5618,Health,29.97971935,17,3,50.36565595,20.86077271,1,0
4326,Arts,27.80263951,1,5,62.61596979,65.63241524,1,0
5849,Arts,86.8204847,14,2,78.4589624,63.81200659,1,1
4992,Science,35.03842663,17,10,59.19885273,95.43316189,0,1
3866,Programming,92.49064696,16,0,98.428285,18.10247753,0,0
8650,Health,79.46612884,12,7,70.23332895,76.48402325,0,1
4321,Health,78.90872424,10,2,86.83653261,22.58889614,1,0
4589,Business,12.06823675,16,3,61.55364646,27.41099087,1,0
4215,Business,81.93570918,8,4,90.26456415,33.30843668,0,1
8089,Programming,83.39402571,15,10,63.95635296,33.26129953,1,0
5010,Science,55.44885317,3,7,57.50783649,80.63469703,0,0
8791,Arts,27.26533064,17,9,70.99850119,0.128336323,0,0
4101,Arts,12.26248379,13,1,68.54184824,48.91869024,1,0
3039,Programming,33.79016765,1,5,97.70588954,77.31223562,0,1
3379,Science,40.78797209,7,3,72.02018992,87.4761995,1,1
5700,Science,37.74623795,10,8,93.30974857,95.89032172,0,1
7567,Programming,36.36982128,8,10,71.7402766,43.54888955,1,1
8772,Health,26.67976913,15,8,64.15505767,21.18477769,1,0
6817,Business,11.17804761,20,5,78.02583213,55.69746684,0,0
2866,Health,56.70844279,6,8,81.3806345,49.17691112,0,1
3134,Science,90.89545276,11,9,82.80335561,76.06002032,1,1
2716,Science,19.22006245,6,4,70.24297667,69.88922263,1,1
3153,Arts,24.98875003,6,9,64.48616706,7.433288005,1,0
6584,Business,33.48224411,3,9,59.87587068,78.5832072,0,0
230,Science,57.66836487,0,5,92.00831477,35.024928,0,0
8813,Programming,33.80791568,12,1,53.65976057,89.95255275,0,1
3103,Programming,48.54343463,3,7,50.46763176,50.99683172,0,0
1274,Science,56.94215602,7,6,80.37425848,61.12697846,0,1
2398,Programming,40.8134818,15,0,55.02883721,56.94624077,0,0
8529,Programming,12.80524622,6,9,51.85830564,86.30231757,0,0
7858,Arts,64.89874149,13,6,97.34019871,68.02150505,1,1
7050,Programming,44.70916759,5,8,76.94121802,17.54193412,0,0
1676,Arts,44.46389515,16,10,51.70151787,53.4007077,0,0
4931,Business,79.92671793,18,3,82.85158828,69.0396978,1,1
1847,Programming,66.2353366,3,4,54.64263659,59.14613931,1,0
6083,Health,27.30889124,17,3,90.02120477,7.434988156,0,0
2263,Health,30.33845961,11,10,85.91852407,94.54929862,0,1
8788,Arts,55.99522788,19,7,89.28612561,12.96914632,0,0
4546,Arts,26.02152421,7,8,81.67770399,33.32047027,0,1
